Rank,Country (or dependent territory),holdings,Date,"% of world
population",Source
1,China,1842.6,,,
2,India,557.8,,,
3,United States,8133.5,,,
4,Indonesia,79.3,,,
5,Brazil,,,,
6,Pakistan,,,,
7,Nigeria,,,,
8,Bangladesh,,,,
9,Russian Federation,1715.8,,,
10,Japan,765.2,,,
11,Mexico,120.1,,,
12,Philippines,196.4,,,
13,Viet Nam,,,,
14,Ethiopia,,,,
15,Egypt,,,,
16,Germany,3374.1,,,
17,Iran,,,,
18,Turkey,456.1,,,
19,Democratic Republic of Congo,,,,
20,France,2435.9,,,
21,Thailand,152.4,,,
22,United Kingdom,310.3,,,
23,Italy,2451.8,,,
24,South Africa,125.3,,,
25,Myanmar,,,,
26,South Korea,104.4,,,
27,Colombia,,,,
28,Tanzania,,,,
29,Spain,281.6,,,
30,Ukraine,,,,
31,Argentina,,,,
32,Kenya,,,,
33,Algeria,173.6,,,
34,Poland,103,,,
35,Sudan,,,,
36,Uganda,,,,
37,Iraq,89.8,,,
38,Canada,,,,
39,Morocco,,,,
40,Peru,,,,
41,Saudi Arabia,322.9,,,
42,Uzbekistan,,,,
43,Malaysia,,,,
44,Venezuela,188.1,,,
45,Ghana,,,,
46,Nepal,,,,
47,Afghanistan,,,,
48,Yemen,,,,
49,Mozambique,,,,
50,North Korea,,,,
51,Angola,,,,
52,Australia,79.9,,,
53,Taiwan,423.6,,,
54,Côte d'Ivoire,,,,
55,Syrian Arab Republic,,,,
56,Madagascar,,,,
57,Cameroon,,,,
58,Sri Lanka,,,,
59,Romania,103.7,,,
60,Chile,,,,
61,Kazakhstan,279,,,
62,Burkina Faso,,,,
63,Niger,,,,
64,Netherlands,612.5,,,
65,Ecuador,,,,
66,Guatemala,,,,
67,Malawi,,,,
68,Mali,,,,
69,Cambodia,,,,
70,Zambia,,,,
71,Senegal,,,,
72,Chad,,,,
73,Zimbabwe,,,,
74,South Sudan,,,,
75,Belgium,227.4,,,
76,Cuba,,,,
77,Rwanda,,,,
78,Greece,112.9,,,
79,Tunisia,,,,
80,Somalia,,,,
81,Haiti,,,,
82,Guinea,,,,
83,Czech Republic,,,,
84,Portugal,382.5,,,
85,Dominican Republic,,,,
86,"Bolivia, Plurinational State of",,,,
87,Benin,,,,
88,Hungary,,,,
89,Sweden,125.7,,,
90,Azerbaijan,,,,
91,Burundi,,,,
92,Belarus,,,,
93,United Arab Emirates,,,,
94,Honduras,,,,
95,Austria,280,,,
96,Israel,,,,
97,Switzerland,1040,,,
98,Tajikistan,,,,
99,Papua New Guinea,,,,
100,Bulgaria,,,,
101,* Hong Kong* (China),,,,
102,Serbia,,,,
103,Togo,,,,
104,Paraguay,,,,
105,Lao People's Democratic Republic,,,,
106,Jordan,,,,
107,Eritrea,,,,
108,El Salvador,,,,
109,Libya,116.6,,,
110,Sierra Leone,,,,
111,Nicaragua,,,,
112,Turkmenistan,,,,
113,Kyrgyzstan,,,,
114,Denmark,,,,
115,Singapore,127.4,,,
116,Finland,,,,
117,Slovakia,,,,
118,Norway,,,,
119,Central African Republic,,,,
120,Costa Rica,,,,
121,Ireland,,,,
122,Congo,,,,
123,* Palestine*,,,,
124,New Zealand,,,,
125,Georgia,,,,
126,Liberia,,,,
127,Croatia,,,,
128,Lebanon,286.8,,,
129,Oman,,,,
130,Bosnia and Herzegovina,,,,
131,Panama,,,,
132,* Puerto Rico* (USA),,,,
133,"Moldova, Republic of",,,,
134,Mauritania,,,,
135,Uruguay,,,,
136,Kuwait,79,,,
137,Armenia,,,,
138,Mongolia,,,,
139,Lithuania,,,,
140,Albania,,,,
141,Jamaica,,,,
142,Qatar,,,,
143,Namibia,,,,
144,Lesotho,,,,
145,"Macedonia, the former Yugoslav Republic of",,,,
146,Slovenia,,,,
147,Botswana,,,,
148,Latvia,,,,
149,Gambia,,,,
150,Kosovo,,,,
151,Guinea-Bissau,,,,
152,Gabon,,,,
153,Equatorial Guinea,,,,
154,Trinidad and Tobago,,,,
155,Bahrain,,,,
156,Estonia,,,,
157,Mauritius,,,,
158,Timor-Leste,,,,
159,Swaziland,,,,
160,Djibouti,,,,
161,Fiji,,,,
162,Cyprus,,,,
163,* Réunion* (France),,,,
164,Guyana,,,,
165,Comoros,,,,
166,Bhutan,,,,
167,Montenegro,,,,
168,* Macau* (China),,,,
169,Western Sahara,,,,
170,Solomon Islands,,,,
171,Luxembourg,,,,
172,Suriname,,,,
173,Cape Verde,,,,
,Transnistria,,,,
174,Malta,,,,
175,* Guadeloupe* (France),,,,
176,Brunei,,,,
177,* Martinique* (France),,,,
178,Bahamas,,,,
179,Belize,,,,
180,Maldives,,,,
181,Iceland,,,,
,Northern Cyprus,,,,
182,Barbados,,,,
183,* French Polynesia* (France),,,,
184,Vanuatu,,,,
185,* New Caledonia* (France),,,,
,Abkhazia,,,,
186,Franch Guyana,,,,
187,* Mayotte* (France),,,,
188,Samoa,,,,
189,São Tomé and Príncipe,,,,
190,Saint Lucia,,,,
191,* Guam* (USA),,,,
192,* Curaçao* (Netherlands),,,,
193,Saint Vincent and the Grenadines,,,,
194,Kiribati,,,,
195,* United States Virgin Islands* (USA),,,,
196,Grenada,,,,
197,Tonga,,,,
198,* Aruba* (Netherlands),,,,
199,Federated States of Micronesia,,,,
200,* Jersey* (UK),,,,
201,Seychelles,,,,
202,Antigua and Barbuda,,,,
203,* Isle of Man* (UK),,,,
204,Andorra,,,,
205,Dominica,,,,
206,* Bermuda* (UK),,,,
207,* Guernsey* (UK),,,,
208,Greenland,,,,
209,Marshall Islands,,,,
210,* American Samoa* (USA),,,,
211,* Cayman Islands* (UK),,,,
212,Saint Kitts and Nevis,,,,
213,* Northern Mariana Islands* (USA),,,,
,South Ossetia,,,,
214,* Faroe Islands* (Denmark),,,,
215,* Sint Maarten* (Netherlands),,,,
216,Liechtenstein,,,,
217,* Saint Martin* (France),,,,
218,Monaco,,,,
219,San Marino,,,,
220,* Turks and Caicos Islands* (UK),,,,
221,* Gibraltar* (UK),,,,
222,* British Virgin Islands* (UK),,,,
