Country,Tonnes,% of world
China,463.7,15%
Australia,287.3,9%
Russian Federation,274.4,9%
United States,225.7,7%
Peru,166,5%
South Africa,165.6,5%
Canada,162.1,5%
Mexico,128.4,4%
Indonesia,107.9,3%
Brazil,96.8,3%
Ghana,95.6,3%
Uzbekistan,86.7,3%
Papua New Guinea,60.4,2%
Argentina,59.6,2%
Tanzania,55.3,2%
Kazakhstan,52.6,2%
Colombia,51.8,2%
Mali,50.1,2%
Burkina Faso,41.6,1%
Chile,40.7,1%
Philippines,40.2,1%
Dem. Rep. of the Congo,38.4,1%
Dominican Republic,38,1%
Sudan,37.2,1%
Zimbabwe,27.4,1%
C?te d'Ivoire,24.7,1%
Turkey,24.6,1%
Guyana,24.2,1%
Guinea,23.8,1%
Venezuela,23,1%
Suriname,21.2,1%
Mongolia,21,1%
Kyrgyz Republic,20.6,1%
Egypt,17.1,1%
Ecuador,12.2,0%
Ethiopia,11.2,0%
Iran,11,0%
New Zealand,8.8,0%
Finland,8.4,0%
Nicaragua,8.1,0%
Senegal,7.5,0%
Mauritania,7.4,0%
Sweden,6.5,0%
Japan,0,0%
,3134.8,100%
